External Transaction Description ,External Transaction Code ,Fee Item Description ,Internal Fee Item Code ,Credit / Debit ,Scoring Category 1,Scoring Category 2,Scoring Category 3,Scoring Category 4
Fee Item Transactions - Used for Fee charging and Non-interest Income Revenue Reporting ,,,,,Used to differentiate fee and non-fee transactions ,"Used for Non-interest income calculations and reporting (e.g., include/exclude from scoring) ","Used for detailed scoring and offers monitoring (e.g., has direct deposit)","Used for more detailed transaction monitoring e.g., has direct deposit "
NSF / OD,,,,,,,,
Continuous Overdraft Charge,,Continuous Overdraft Charge,,Debit ,Fee item,NSF /OD,N/A,N/A
Insufficient Funds Charge,,Insufficient Funds Charge,,Debit ,Fee item,NSF /OD,N/A,N/A
Insufficient Funds Charge,,Insufficient Funds Charge,,Debit ,Fee item,NSF /OD,N/A,N/A
Non-Sufficient Funds Fee - Items Returned,,Non-Sufficient Funds Fee - Items Returned,,Debit ,Fee item,NSF /OD,N/A,N/A
Overdraft fee waiver ,,Overdraft Fee Reversal ,,Credit ,Fee item,NSF /OD,N/A,N/A
Overdraft Interest Charge,,Overdraft Interest Charge,,Debit ,Fee item,NSF /OD,N/A,N/A
Overdraft Item Charge,,Overdraft Item Charge,,Debit ,Fee item,NSF /OD,N/A,N/A
Overdraft/NSF fee ,,Overdraft Fee ,,Debit ,Fee item,NSF /OD,N/A,N/A
Refund NSF Paid Fee-STD/YTD,,Refund NSF Paid Fee-STD/YTD,,Debit ,Fee item,NSF /OD,N/A,N/A
Refund NSF Paid Item Fee- STD,,Refund NSF Paid Item Fee- STD,,Debit ,Fee item,NSF /OD,N/A,N/A
Refund NSF Paid Item Fee-YTD,,Refund NSF Paid Item Fee-YTD,,Debit ,Fee item,NSF /OD,N/A,N/A
Refund NSF Return Fee-STD/YTD,,Refund NSF Return Fee-STD/YTD,,Debit ,Fee item,NSF /OD,N/A,N/A
Refund NSF Return Item Fee-STD,,Refund NSF Return Item Fee-STD,,Debit ,Fee item,NSF /OD,N/A,N/A
Refund NSF Return Item Fee-YTD,,Refund NSF Return Item Fee-YTD,,Debit ,Fee item,NSF /OD,N/A,N/A
Refund OD Accrual Fee-STD,,Refund OD Accrual Fee-STD,,Debit ,Fee item,NSF /OD,N/A,N/A
Refund OD Accrual Fee-STD/YTD,,Refund OD Accrual Fee-STD/YTD,,Debit ,Fee item,NSF /OD,N/A,N/A
Refund OD Accrual Fee-YTD,,Refund OD Accrual Fee-YTD,,Debit ,Fee item,NSF /OD,N/A,N/A
Uncollected Funds Charge,,Uncollected Funds Charge,,Debit ,Fee item,NSF /OD,N/A,N/A
Returned/bounced check ,,Return Check ,,Debit ,Fee item,NSF /OD,N/A,N/A
Returned check fee ,,Return Item Fee ,,Debit ,Fee item,NSF /OD,N/A,N/A
Returned check penalty ,,Return Check Fee ,,Debit ,Fee item,NSF /OD,N/A,N/A
Reverse NSF Item Charge,,Reverse NSF Item Charge,,Debit ,Fee item,NSF /OD,N/A,N/A
Reverse NSF Item Charge,,Reverse NSF Item Charge,,Debit ,Fee item,NSF /OD,N/A,N/A
Reverse OD Item Charge,,Reverse OD Item Charge,,Debit ,Fee item,NSF /OD,N/A,N/A
All Others,,,,,,,,
Money Movement,,,,,,,,
ACH,,,,,,,,
ACH Chargeback Fee,,ACH Chargeback Fee,,Debit ,Fee item,All others ,Money Movement,ACH
ATM,,,,,,,,
ATM fee refund ,,ATM Fee Reimbursement ,,Credit ,Fee item,All others ,Money Movement,ATM
ATM Service Charge,,ATM Service Charge,,Debit ,Fee item,All others ,Money Movement,ATM
ATM Service Charge,,ATM Service Charge,,Debit ,Fee item,All others ,Money Movement,ATM
ATM Service Charge Reversal,,ATM Service Charge Reversal,,Credit ,Fee item,All others ,Money Movement,ATM
